run_id,scenario_id,variant_id,scheduler_name,seed,trace_id,trace_sha256,total_requests,completed_requests,rejected_requests,deadline_satisfaction_rate,useful_goodput_requests_per_second,mean_end_to_end_latency_ms,p95_end_to_end_latency_ms,actual_prediction_accuracy,estimated_energy_per_completed_request_units
core-device_slowdown-fastest_device-seed-4,device_slowdown,fastest_device,fastest_device,4,device_slowdown-seed-4,b223f01dd3a25216d6201cfe240143c364f60ecfe5d5ed9005e0278d58210623,95,95,0,1.0,4.65,73.89485690905296,74.08441115999995,0.9789473684210527,1.1019338862105261
core-device_slowdown-fastest_device-seed-5,device_slowdown,fastest_device,fastest_device,5,device_slowdown-seed-5,3dd4023e40754b46bb374d5a1dfe6ecfc8796eea4838bb6c07f75d7be60c62e6,99,99,0,1.0,4.65,73.88191848585643,74.08441115999995,0.9393939393939394,1.0490759033333332
core-device_slowdown-min_completion-seed-1,device_slowdown,min_completion,min_completion,1,device_slowdown-seed-1,a97c9319f45c7b372717900e92d54aaa94460bd1034654b5c5a7a0cfe9e1721a,96,96,0,1.0,4.4,0.6150154999996665,0.6150155000000268,0.9166666666666666,0.6150155
core-device_slowdown-min_completion-seed-2,device_slowdown,min_completion,min_completion,2,device_slowdown-seed-2,af4c6962ef234ceedf181ff6348f5024f43e720ccd80124c7e68eb424bf42645,105,105,0,1.0,5.2,0.6150154999996709,0.6150155000000268,0.9904761904761905,0.6150155
core-device_slowdown-min_completion-seed-3,device_slowdown,min_completion,min_completion,3,device_slowdown-seed-3,e26f9cd989c78dabb37e11f5f6c446bc8859a59ab0323345dbe0d02d472bc778,94,94,0,1.0,4.65,0.6177294329947679,0.6150155000000268,0.9893617021276596,0.6150155
core-device_slowdown-min_completion-seed-4,device_slowdown,min_completion,min_completion,4,device_slowdown-seed-4,b223f01dd3a25216d6201cfe240143c364f60ecfe5d5ed9005e0278d58210623,95,95,0,1.0,4.65,0.6150154999996391,0.6150155000000268,0.9789473684210527,0.6150155
core-device_slowdown-min_completion-seed-5,device_slowdown,min_completion,min_completion,5,device_slowdown-seed-5,3dd4023e40754b46bb374d5a1dfe6ecfc8796eea4838bb6c07f75d7be60c62e6,99,99,0,1.0,4.65,0.6232718435165804,0.6150155000000268,0.9393939393939394,0.6150155
core-device_slowdown-round_robin-seed-1,device_slowdown,round_robin,round_robin,1,device_slowdown-seed-1,a97c9319f45c7b372717900e92d54aaa94460bd1034654b5c5a7a0cfe9e1721a,96,96,0,1.0,4.4,33.5518433566669,74.08441115999813,0.9166666666666666,0.8218900533333334
core-device_slowdown-round_robin-seed-2,device_slowdown,round_robin,round_robin,2,device_slowdown-seed-2,af4c6962ef234ceedf181ff6348f5024f43e720ccd80124c7e68eb424bf42645,105,105,0,1.0,5.2,33.5486804198097,74.08441115999813,0.9904761904761905,0.8092383059047619
core-device_slowdown-round_robin-seed-3,device_slowdown,round_robin,round_robin,3,device_slowdown-seed-3,e26f9cd989c78dabb37e11f5f6c446bc8859a59ab0323345dbe0d02d472bc778,94,94,0,1.0,4.65,33.193207746170245,74.08441115999813,0.9893617021276596,0.7867139610638297
core-device_slowdown-round_robin-seed-4,device_slowdown,round_robin,round_robin,4,device_slowdown-seed-4,b223f01dd3a25216d6201cfe240143c364f60ecfe5d5ed9005e0278d58210623,95,95,0,1.0,4.65,33.12518474821085,74.08441115999813,0.9789473684210527,0.8109609918947369
core-device_slowdown-round_robin-seed-5,device_slowdown,round_robin,round_robin,5,device_slowdown-seed-5,3dd4023e40754b46bb374d5a1dfe6ecfc8796eea4838bb6c07f75d7be60c62e6,99,99,0,1.0,4.65,33.54476136000008,74.08441115999813,0.9393939393939394,0.7935620666666666
core-network_slowdown-edgeweaver-seed-1,network_slowdown,edgeweaver,edgeweaver,1,network_slowdown-seed-1,c76491803402ce5ea19087cbe33d497f251419d796b8e9d85f873c4a2f9e9832,70,70,0,1.0,3.35,0.615015499999689,0.6150155000000268,0.9571428571428572,0.6150155
core-network_slowdown-edgeweaver-seed-2,network_slowdown,edgeweaver,edgeweaver,2,network_slowdown-seed-2,7801fbeaba19846a130d3e2135ca979351edd2ef5c8afa8f04121e75ae3aa812,82,82,0,1.0,3.95,0.6150154999996653,0.6150155000000268,0.9634146341463414,0.6150155
core-network_slowdown-edgeweaver-seed-3,network_slowdown,edgeweaver,edgeweaver,3,network_slowdown-seed-3,6ac9607a1a9c512b247d4c1175251f39cd843f414161ac4168f524402ae4bfd8,78,78,0,1.0,3.8,0.6171325929730213,0.6150155000000268,0.9743589743589743,0.6150155
core-network_slowdown-edgeweaver-seed-4,network_slowdown,edgeweaver,edgeweaver,4,network_slowdown-seed-4,d03c01fcf11a877d116938df0d40940af5846e8b8b489cc737ae2ff83c61d503,66,66,0,1.0,3.15,0.6150154999996617,0.6150155000000268,0.9545454545454546,0.6150155
core-network_slowdown-edgeweaver-seed-5,network_slowdown,edgeweaver,edgeweaver,5,network_slowdown-seed-5,0ee23961a438763e5bdfad55850f6dfae55abc075b790cde0f0c6c8dc4643019,80,80,0,1.0,3.8,0.6181347491932968,0.6150155000000268,0.95,0.6150155
core-network_slowdown-fastest_device-seed-1,network_slowdown,fastest_device,fastest_device,1,network_slowdown-seed-1,c76491803402ce5ea19087cbe33d497f251419d796b8e9d85f873c4a2f9e9832,70,70,0,0.8285714285714286,2.75,115.90838086285729,224.7140037199988,0.9571428571428572,0.6793211299999999
core-network_slowdown-fastest_device-seed-2,network_slowdown,fastest_device,fastest_device,2,network_slowdown-seed-2,7801fbeaba19846a130d3e2135ca979351edd2ef5c8afa8f04121e75ae3aa812,82,82,0,0.7926829268292683,3.15,129.99060859804862,224.7140037199988,0.9634146341463414,0.6793211299999999
core-network_slowdown-fastest_device-seed-3,network_slowdown,fastest_device,fastest_device,3,network_slowdown-seed-3,6ac9607a1a9c512b247d4c1175251f39cd843f414161ac4168f524402ae4bfd8,78,78,0,0.8333333333333334,3.2,115.32220884820569,224.71400371999894,0.9743589743589743,0.6793211299999999
core-network_slowdown-fastest_device-seed-4,network_slowdown,fastest_device,fastest_device,4,network_slowdown-seed-4,d03c01fcf11a877d116938df0d40940af5846e8b8b489cc737ae2ff83c61d503,66,66,0,0.803030303030303,2.55,128.6709491745455,224.7140037199988,0.9545454545454546,0.6793211299999999
core-network_slowdown-fastest_device-seed-5,network_slowdown,fastest_device,fastest_device,5,network_slowdown-seed-5,0ee23961a438763e5bdfad55850f6dfae55abc075b790cde0f0c6c8dc4643019,80,80,0,0.7375,2.8,131.2629237199998,224.71400371999889,0.95,0.6793211299999999
core-network_slowdown-min_completion-seed-1,network_slowdown,min_completion,min_completion,1,network_slowdown-seed-1,c76491803402ce5ea19087cbe33d497f251419d796b8e9d85f873c4a2f9e9832,70,70,0,1.0,3.35,0.615015499999689,0.6150155000000268,0.9571428571428572,0.6150155
core-network_slowdown-min_completion-seed-2,network_slowdown,min_completion,min_completion,2,network_slowdown-seed-2,7801fbeaba19846a130d3e2135ca979351edd2ef5c8afa8f04121e75ae3aa812,82,82,0,1.0,3.95,0.6150154999996653,0.6150155000000268,0.9634146341463414,0.6150155
core-network_slowdown-min_completion-seed-3,network_slowdown,min_completion,min_completion,3,network_slowdown-seed-3,6ac9607a1a9c512b247d4c1175251f39cd843f414161ac4168f524402ae4bfd8,78,78,0,1.0,3.8,0.6171325929730213,0.6150155000000268,0.9743589743589743,0.6150155
core-network_slowdown-min_completion-seed-4,network_slowdown,min_completion,min_completion,4,network_slowdown-seed-4,d03c01fcf11a877d116938df0d40940af5846e8b8b489cc737ae2ff83c61d503,66,66,0,1.0,3.15,0.6150154999996617,0.6150155000000268,0.9545454545454546,0.6150155
core-network_slowdown-min_completion-seed-5,network_slowdown,min_completion,min_completion,5,network_slowdown-seed-5,0ee23961a438763e5bdfad55850f6dfae55abc075b790cde0f0c6c8dc4643019,80,80,0,1.0,3.8,0.6181347491932968,0.6150155000000268,0.95,0.6150155
core-network_slowdown-round_robin-seed-1,network_slowdown,round_robin,round_robin,1,network_slowdown-seed-1,c76491803402ce5ea19087cbe33d497f251419d796b8e9d85f873c4a2f9e9832,70,70,0,0.9714285714285714,3.25,47.13522918485736,224.7140037199988,0.9571428571428572,0.6734396071428571
core-network_slowdown-round_robin-seed-2,network_slowdown,round_robin,round_robin,2,network_slowdown-seed-2,7801fbeaba19846a130d3e2135ca979351edd2ef5c8afa8f04121e75ae3aa812,82,82,0,0.9512195121951219,3.8,52.50420185439021,224.7140037199988,0.9634146341463414,0.6735635182926829
core-network_slowdown-round_robin-seed-3,network_slowdown,round_robin,round_robin,3,network_slowdown-seed-3,6ac9607a1a9c512b247d4c1175251f39cd843f414161ac4168f524402ae4bfd8,78,78,0,0.9358974358974359,3.6,47.958880888205464,224.7140037199988,0.9743589743589743,0.6742863333333333
core-network_slowdown-round_robin-seed-4,network_slowdown,round_robin,round_robin,4,network_slowdown-seed-4,d03c01fcf11a877d116938df0d40940af5846e8b8b489cc737ae2ff83c61d503,66,66,0,0.9242424242424242,2.9,51.80885757818202,224.7140037199988,0.9545454545454546,0.6742863333333333
core-network_slowdown-round_robin-seed-5,network_slowdown,round_robin,round_robin,5,network_slowdown-seed-5,0ee23961a438763e5bdfad55850f6dfae55abc075b790cde0f0c6c8dc4643019,80,80,0,0.9,3.4,51.877114160499914,224.7140037199988,0.95,0.674223398375
core-normal-edgeweaver-seed-1,normal,edgeweaver,edgeweaver,1,normal-seed-1,79f852cc030aa6adb8b54cb5e31e6cf22cffbec1a9bd66a40a2823ea31a79b2d,70,70,0,1.0,3.35,0.615015499999689,0.6150155000000268,0.9571428571428572,0.6150155
core-normal-edgeweaver-seed-2,normal,edgeweaver,edgeweaver,2,normal-seed-2,bb521b80f903152fd9734d7ae92e72d144417b58e0e814fd90930dfe31432325,82,82,0,1.0,3.95,0.6150154999996653,0.6150155000000268,0.9634146341463414,0.6150155
core-normal-edgeweaver-seed-3,normal,edgeweaver,edgeweaver,3,normal-seed-3,10b8a266541507b60afec0a1b908761f593b81d47663dac6d55e78ed979ff0c2,78,78,0,1.0,3.8,0.6171325929730213,0.6150155000000268,0.9743589743589743,0.6150155
core-normal-edgeweaver-seed-4,normal,edgeweaver,edgeweaver,4,normal-seed-4,28dc6f645c54ad6bf341402a82c7ff7fdb2738945163c32c39b5b4b5f75169a4,66,66,0,1.0,3.15,0.6150154999996617,0.6150155000000268,0.9545454545454546,0.6150155
core-normal-edgeweaver-seed-5,normal,edgeweaver,edgeweaver,5,normal-seed-5,4d8e64932411184fcdcd82eb85451310cd2b54199ff41207ca6b196ac23bb6e9,80,80,0,1.0,3.8,0.6181347491932968,0.6150155000000268,0.95,0.6150155
